Toy Story (1995)	Adventure|Animation|Children|Comedy|Fantasy		
Snow White and the Seven Dwarfs (1937)	Animation|Children|Drama|Fantasy|Musical		
Beauty and the Beast (1991)	Animation|Children|Fantasy|Musical|Romance|IMAX		
Pinocchio (1940)	Animation|Children|Fantasy|Musical		
Pretty Woman (1990)	Comedy|Romance		
Window to Paris (Okno v Parizh) (1994)	Comedy|Fantasy		
Wild Bunch, The (1969)	Adventure|Western		
Love and a .45 (1994)	Action|Comedy|Crime		
Wooden Man's Bride, The (Yan shen) (1994)	Drama		
Great Day in Harlem, A (1994)	Documentary		
Bye Bye, Love (1995)	Comedy		
Criminals (1996)	Documentary		
One Fine Day (1996)	Drama|Romance		
Candyman: Farewell to the Flesh (1995)	Fantasy|Horror		
Century (1993)	Drama		
Fargo (1996)	Comedy|Crime|Drama|Thriller		
Homeward Bound II: Lost in San Francisco (1996)	Adventure|Children		
Heavy Metal (1981)	Action|Adventure|Animation|Horror|Sci-Fi		
Hellraiser: Bloodline (1996)	Action|Horror|Sci-Fi		
Pallbearer, The (1996)	Comedy		
Jane Eyre (1996)	Drama|Romance		
Loaded (1994)	Drama|Thriller		
Bread and Chocolate (Pane e cioccolata) (1973)	Comedy|Drama		
Aristocats, The (1970)	Animation|Children		
Flower of My Secret, The (La flor de mi secreto) (1995)	Comedy|Drama		
Two Much (1995)	Comedy|Romance		
Ed (1996)	Comedy		
Scream of Stone (Cerro Torre: Schrei aus Stein) (1991)	Drama		
My Favorite Season (1993)	Drama		
Modern Affair, A (1995)	Romance		
Condition Red (Beyond the Law) (1995)	Action|Drama|Thriller		
Asfour Stah (1990)	Drama		
Thin Line Between Love and Hate, A (1996)	Comedy		
Last Supper, The (1995)	Drama|Thriller		
Primal Fear (1996)	Crime|Drama|Mystery|Thriller		
Rude (1995)	Drama		
Carried Away (1996)	Drama|Romance		
All Dogs Go to Heaven 2 (1996)	Adventure|Animation|Children|Fantasy|Musical|Romance		
Land and Freedom (Tierra y libertad) (1995)	Drama|War		
Denise Calls Up (1995)	Comedy		
Theodore Rex (1995)	Comedy		
Family Thing, A (1996)	Comedy|Drama		
Frisk (1995)	Drama		
Sgt. Bilko (1996)	Comedy		
Jack and Sarah (1995)	Romance		
Girl 6 (1996)	Comedy|Drama		
Diabolique (1996)	Drama|Thriller		
Little Indian, Big City (Un indien dans la ville) (1994)	Adventure|Children|Comedy		
Roula (1995)	Drama		
Peanuts - Die Bank zahlt alles (1996)	Comedy		
Happy Weekend (1996)	Comedy		
Nelly & Monsieur Arnaud (1995)	Drama		
Courage Under Fire (1996)	Action|Crime|Drama|War		
Mission: Impossible (1996)	Action|Adventure|Mystery|Thriller		
Cold Fever (Á köldum klaka) (1995)	Comedy|Drama		
Moll Flanders (1996)	Drama		
Superweib, Das (1996)	Comedy		
301, 302 (301/302) (1995)	Horror|Mystery|Thriller		
Dragonheart (1996)	Action|Adventure|Fantasy		
And Nobody Weeps for Me (Und keiner weint mir nach) (1996)	Drama|Romance		
My Mother's Courage (Mutters Courage) (1995)	Comedy		
Eddie (1996)	Comedy		
Yankee Zulu (1994)	Comedy|Drama		
Billy's Holiday (1995)	Drama|Musical		
Purple Noon (Plein soleil) (1960)	Crime|Drama|Thriller		
August (1996)	Drama		
James and the Giant Peach (1996)	Adventure|Animation|Children|Fantasy|Musical		
Fear (1996)	Thriller		
Kids in the Hall: Brain Candy (1996)	Comedy		
Faithful (1996)	Comedy		
Underground (1995)	Comedy|Drama|War		
All Things Fair (Lust och fägring stor) (1995)	Drama|Romance|War		
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)	Action		
Song of the Little Road (Pather Panchali) (1955)	Drama		
World of Apu, The (Apur Sansar) (1959)	Drama		
Mystery Science Theater 3000: The Movie (1996)	Comedy|Sci-Fi		
Tarantella (1995)	Drama		
Space Jam (1996)	Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi		
Barbarella (1968)	Adventure|Comedy|Sci-Fi		
Hostile Intentions (1994)	Action|Drama|Thriller		
They Bite (1996)	Comedy|Horror|Sci-Fi		
Some Folks Call It a Sling Blade (1993)	Drama|Thriller		
Run of the Country, The (1995)	Drama		
Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)	Drama|Mystery|Romance|Sci-Fi|Thriller		
Coup de torchon (Clean Slate) (1981)	Crime		
Tigrero: A Film That Was Never Made (1994)	Documentary|Drama		
Eye of Vichy, The (Oeil de Vichy, L') (1993)	Documentary		
Windows (1980)	Drama		
It's My Party (1996)	Drama		
Country Life (1994)	Drama|Romance		
Operation Dumbo Drop (1995)	Action|Adventure|Comedy|War		
Promise, The (Versprechen, Das) (1995)	Drama|Romance		
Mrs. Winterbourne (1996)	Comedy|Romance		
Solo (1996)	Action|Sci-Fi|Thriller		
Under the Domim Tree (Etz Hadomim Tafus) (1994)	Drama		
Substitute, The (1996)	Action|Crime|Drama		
True Crime (1996)	Mystery|Thriller		
Butterfly Kiss (1995)	Drama|Thriller		
Feeling Minnesota (1996)	Drama|Romance		
Delta of Venus (1995)	Drama		
To Cross the Rubicon (1991)	Drama		
Angus (1995)	Comedy		
Daens (1992)	Drama		
Faces (1968)	Drama		
Boys (1996)	Drama		
Quest, The (1996)	Action|Adventure		
Cosi (1996)	Comedy		
Sunset Park (1996)	Drama		
Mulholland Falls (1996)	Crime|Drama|Thriller		
Truth About Cats & Dogs, The (1996)	Comedy|Romance		
Oliver & Company (1988)	Adventure|Animation|Children|Comedy|Musical		
Celtic Pride (1996)	Comedy		
Flipper (1996)	Adventure|Children		
Captives (1994)	Crime|Drama|Romance|Thriller		
Of Love and Shadows (1994)	Drama		
Dead Man (1995)	Drama|Mystery|Western		
Horseman on the Roof, The (Hussard sur le toit, Le) (1995)	Drama|Romance		
Switchblade Sisters (1975)	Crime		
Mouth to Mouth (Boca a boca) (1995)	Comedy		
Visitors, The (Visiteurs, Les) (1993)	Comedy|Fantasy|Sci-Fi		
Multiplicity (1996)	Comedy		
Wallace & Gromit: The Best of Aardman Animation (1996)	Adventure|Animation|Comedy		
Halfmoon (Paul Bowles - Halbmond) (1995)	Drama		
Haunted World of Edward D. Wood Jr., The (1996)	Documentary		
Two Friends (1986)	Drama		
Craft, The (1996)	Drama|Fantasy|Horror|Thriller		
Great White Hype, The (1996)	Comedy		
Last Dance (1996)	Drama		
War Stories (1995)	Documentary		
Cold Comfort Farm (1995)	Comedy		
Institute Benjamenta, or This Dream People Call Human Life (1995)	Drama		
Low Life (1994)	Drama		
Heaven's Prisoners (1996)	Crime|Thriller		
Original Gangstas (1996)	Crime		
Rock, The (1996)	Action|Adventure|Thriller		
Getting Away With Murder (1996)	Comedy		
Cemetery Man (Dellamorte Dellamore) (1994)	Horror		
Twister (1996)	Action|Adventure|Romance|Thriller		
Barb Wire (1996)	Action|Sci-Fi		
Garçu, Le (1995)	Drama		
Honey Moon (Honigmond) (1996)	Comedy		
Ghost in the Shell (Kôkaku kidôtai) (1995)	Animation|Sci-Fi		
Thinner (1996)	Horror|Thriller		
Spy Hard (1996)	Comedy		
Brothers in Trouble (1995)	Drama		
Wallace & Gromit: A Close Shave (1995)	Animation|Children|Comedy		
Force of Evil (1948)	Film-Noir		
Stupids, The (1996)	Comedy		
Arrival, The (1996)	Action|Sci-Fi|Thriller		
Man from Down Under, The (1943)	Drama		
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)	Comedy|War		
Careful (1992)	Comedy|Horror		
Vermont Is For Lovers (1992)	Comedy|Documentary|Romance		
Month by the Lake, A (1995)	Comedy|Drama|Romance		
Gold Diggers: The Secret of Bear Mountain (1995)	Adventure|Children		
Kim (1950)	Children|Drama		
Carmen Miranda: Bananas Is My Business (1994)	Documentary		
Ashes of Time (Dung che sai duk) (1994)	Drama		
Jar, The (Khomreh) (1992)	Drama		
Maya Lin: A Strong Clear Vision (1994)	Documentary		
Stalingrad (1993)	Drama|War		
Phantom, The (1996)	Action|Adventure		
Striptease (1996)	Comedy|Crime		
Last of the High Kings, The (a.k.a. Summer Fling) (1996)	Comedy|Drama		
Heavy (1995)	Drama|Romance		
Jack (1996)	Comedy|Drama		
I Shot Andy Warhol (1996)	Drama		
Grass Harp, The (1995)	Comedy|Drama		
Someone Else's America (1995)	Drama		
Marlene Dietrich: Shadow and Light (1996)	Documentary		
Costa Brava (1946)	Drama		
Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)	Comedy|Drama		
Quartier Mozart (1992)	Comedy		
Touki Bouki (1973)	Drama		
Wend Kuuni (a.k.a. God's Gift) (1982)	Drama		
Spirits of the Dead (1968)	Horror|Mystery		
Babyfever (1994)	Comedy|Drama		
Pharaoh's Army (1995)	War		
Trainspotting (1996)	Comedy|Crime|Drama		
Til There Was You (1997)	Drama|Romance		
Independence Day (a.k.a. ID4) (1996)	Action|Adventure|Sci-Fi|Thriller		
Stealing Beauty (1996)	Drama		
Fan, The (1996)	Drama|Thriller		
Hunchback of Notre Dame, The (1996)	Animation|Children|Drama|Musical|Romance		
Cable Guy, The (1996)	Comedy|Thriller		
Kingpin (1996)	Comedy		
Eraser (1996)	Action|Drama|Thriller		
Gate of Heavenly Peace, The (1995)	Documentary		
Nutty Professor, The (1996)	Comedy|Fantasy|Romance|Sci-Fi		
I, the Worst of All (Yo, la peor de todas) (1990)	Drama		
Unforgettable Summer, An (Un été inoubliable) (1994)	Drama		
Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)	Documentary		
Hungarian Fairy Tale, A (Hol volt, hol nem volt) (1987)	Fantasy		
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)	Drama		
Midnight Dancers (Sibak) (1994)	Comedy|Drama		
Somebody to Love (1994)	Drama		
Very Natural Thing, A (1974)	Drama		
Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)	Comedy		
Daylight (1996)	Action|Adventure|Drama|Thriller		
Frighteners, The (1996)	Comedy|Horror|Thriller		
Lone Star (1996)	Drama|Mystery|Western		
Harriet the Spy (1996)	Children|Comedy		
Phenomenon (1996)	Drama|Romance		
Walking and Talking (1996)	Comedy|Drama|Romance		
She's the One (1996)	Comedy|Romance		
Time to Kill, A (1996)	Drama|Thriller		
American Buffalo (1996)	Crime|Drama		
Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)	Comedy|Romance		
Alaska (1996)	Adventure|Children		
Fled (1996)	Action|Adventure		
Kazaam (1996)	Children|Comedy|Fantasy		
Magic Hunter (Büvös vadász) (1994)	Drama		
Larger Than Life (1996)	Comedy		
Boy Called Hate, A (1995)	Drama		
Power 98 (1996)	Action|Mystery|Thriller		
Two Deaths (1995)	Drama		
Very Brady Sequel, A (1996)	Comedy		
Stefano Quantestorie (1993)	Comedy|Drama		
Death in the Garden (Mort en ce jardin, La) (1956)	Drama		
Crude Oasis, The (1995)	Drama|Romance		
Hedd Wyn (1992)	Drama|Romance|War		
Collector, The (La collectionneuse) (1967)	Drama		
Kaspar Hauser (1993)	Drama|Mystery		
Regular Guys (Echte Kerle) (1996)	Comedy|Romance		
Women Robbers (Diebinnen) (1995)	Drama		
Convent, The (O Convento) (1995)	Drama		
Adventures of Pinocchio, The (1996)	Adventure|Children		
Joe's Apartment (1996)	Comedy|Fantasy|Musical		
First Wives Club, The (1996)	Comedy		
Stonewall (1995)	Drama		
Ransom (1996)	Crime|Thriller		
High School High (1996)	Comedy		
Phat Beach (1996)	Comedy		
Foxfire (1996)	Drama		
Chain Reaction (1996)	Action|Adventure|Thriller		
Matilda (1996)	Children|Comedy|Fantasy		
Emma (1996)	Comedy|Drama|Romance		
Crow: City of Angels, The (1996)	Action|Thriller		
House Arrest (1996)	Children|Comedy		
Eyes Without a Face (Yeux sans visage, Les) (1959)	Horror		
Tales from the Crypt Presents: Bordello of Blood (1996)	Comedy|Horror		
Lotto Land (1995)	Drama		
Story of Xinghua, The (Xinghua san yue tian) (1994)	Drama		
Day the Sun Turned Cold, The (Tianguo niezi) (1994)	Drama		
Flirt (1995)	Drama		
Big Squeeze, The (1996)	Comedy|Drama		
Spitfire Grill, The (1996)	Drama		
Escape from L.A. (1996)	Action|Adventure|Sci-Fi|Thriller		
Cyclo (Xich lo) (1995)	Crime|Drama		
Basquiat (1996)	Drama		
Tin Cup (1996)	Comedy|Drama|Romance		
Dingo (1991)	Drama		
Ballad of Narayama, The (Narayama Bushiko) (1958)	Drama		
Every Other Weekend (Un week-end sur deux) (1990)	Drama		
Mille bolle blu (1993)	Comedy		
Crows and Sparrows (Wuya yu maque) (1949)	Drama		
Godfather, The (1972)	Crime|Drama		
Hippie Revolution, The (1996)	Documentary		
Maybe, Maybe Not (Bewegte Mann, Der) (1994)	Comedy		
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992)	Action|Comedy|Crime|Thriller		
Manny & Lo (1996)	Drama		
Wife, The (1995)	Comedy|Drama		
Small Faces (1996)	Drama		
Bound (1996)	Crime|Drama|Romance|Thriller		
Carpool (1996)	Comedy|Crime		
Death in Brunswick (1991)	Comedy		
Kansas City (1996)	Crime|Drama|Musical|Thriller		
Gone Fishin' (1997)	Comedy		
Lover's Knot (1996)	Comedy		
Vive L'Amour (Ai qing wan sui) (1994)	Drama		
Shadow of Angels (Schatten der Engel) (1976)	Drama		
Killer: A Journal of Murder (1995)	Crime|Drama		
Nothing to Lose (1994)	Action|Crime|Drama		
Supercop 2 (Project S) (Chao ji ji hua) (1993)	Action|Comedy|Crime|Thriller		
Girls Town (1996)	Comedy|Drama		
Bye-Bye (1995)	Drama		
Relic, The (1997)	Horror|Thriller		
Island of Dr. Moreau, The (1996)	Sci-Fi|Thriller		
First Kid (1996)	Children|Comedy		
Trigger Effect, The (1996)	Drama|Thriller		
Sweet Nothing (1996)	Drama		
Bogus (1996)	Children|Drama|Fantasy		
Bulletproof (1996)	Action|Comedy|Crime		
Talk of Angels (1998)	Drama		
Land Before Time III: The Time of the Great Giving (1995)	Adventure|Animation|Children|Musical		
1-900 (06) (1994)	Drama|Romance		
Baton Rouge (Bâton rouge) (1988)	Thriller		
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)	Horror|Thriller		
Twelfth Night (1996)	Comedy|Drama|Romance		
Mother Night (1996)	Drama		
Liebelei (1933)	Romance		
Venice/Venice (1992)	Drama		
Wild Reeds (Les roseaux sauvages) (1994)	Drama		
For Whom the Bell Tolls (1943)	Adventure|Drama|Romance|War		
Philadelphia Story, The (1940)	Comedy|Drama|Romance		
Singin' in the Rain (1952)	Comedy|Musical|Romance		
American in Paris, An (1951)	Musical|Romance		
Funny Face (1957)	Comedy|Musical		
Breakfast at Tiffany's (1961)	Drama|Romance		
Vertigo (1958)	Drama|Mystery|Romance|Thriller		
Rear Window (1954)	Mystery|Thriller		
It Happened One Night (1934)	Comedy|Romance		
Gaslight (1944)	Drama|Thriller		
Gay Divorcee, The (1934)	Comedy|Musical|Romance		
North by Northwest (1959)	Action|Adventure|Mystery|Romance|Thriller		
Apartment, The (1960)	Comedy|Drama|Romance		
Some Like It Hot (1959)	Comedy|Crime		
Charade (1963)	Comedy|Crime|Mystery|Romance|Thriller		
Casablanca (1942)	Drama|Romance		
Maltese Falcon, The (1941)	Film-Noir|Mystery		
My Fair Lady (1964)	Comedy|Drama|Musical|Romance		
Sabrina (1954)	Comedy|Romance		
Roman Holiday (1953)	Comedy|Drama|Romance		
Little Princess, The (1939)	Children|Drama		
Meet Me in St. Louis (1944)	Musical		
Wizard of Oz, The (1939)	Adventure|Children|Fantasy|Musical		
Gone with the Wind (1939)	Drama|Romance|War		
My Favorite Year (1982)	Comedy		
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)	Drama|Film-Noir|Romance		
Citizen Kane (1941)	Drama|Mystery		
2001: A Space Odyssey (1968)	Adventure|Drama|Sci-Fi		
Golden Earrings (1947)	Adventure|Romance|War		
All About Eve (1950)	Drama		
Women, The (1939)	Comedy		
Rebecca (1940)	Drama|Mystery|Romance|Thriller		
Foreign Correspondent (1940)	Drama|Film-Noir|Mystery|Thriller		
Notorious (1946)	Film-Noir|Romance|Thriller		
Spellbound (1945)	Mystery|Romance|Thriller		
Affair to Remember, An (1957)	Drama|Romance		
To Catch a Thief (1955)	Crime|Mystery|Romance|Thriller		
Father of the Bride (1950)	Comedy		
Band Wagon, The (1953)	Comedy|Musical		
Ninotchka (1939)	Comedy|Romance		
Love in the Afternoon (1957)	Comedy|Romance		
Gigi (1958)	Musical		
Reluctant Debutante, The (1958)	Comedy|Drama		
Adventures of Robin Hood, The (1938)	Action|Adventure|Romance		
Mark of Zorro, The (1940)	Adventure		
Laura (1944)	Crime|Film-Noir|Mystery		
Ghost and Mrs. Muir, The (1947)	Drama|Fantasy|Romance		
Lost Horizon (1937)	Drama		
Top Hat (1935)	Comedy|Musical|Romance		
To Be or Not to Be (1942)	Comedy|Drama|War		
My Man Godfrey (1936)	Comedy|Romance		
Giant (1956)	Drama|Romance|Western		
East of Eden (1955)	Drama		
Thin Man, The (1934)	Comedy|Crime		
His Girl Friday (1940)	Comedy|Romance		
Around the World in 80 Days (1956)	Adventure|Comedy		
It's a Wonderful Life (1946)	Children|Drama|Fantasy|Romance		
Mr. Smith Goes to Washington (1939)	Drama		
Bringing Up Baby (1938)	Comedy|Romance		
Penny Serenade (1941)	Drama|Romance		
Scarlet Letter, The (1926)	Drama		
Lady of Burlesque (1943)	Comedy|Mystery		
Of Human Bondage (1934)	Drama		
Angel on My Shoulder (1946)	Crime|Drama		
Little Lord Fauntleroy (1936)	Drama		
They Made Me a Criminal (1939)	Crime|Drama		
Inspector General, The (1949)	Musical		
Angel and the Badman (1947)	Romance|Western		
39 Steps, The (1935)	Drama|Mystery|Thriller		
A Walk in the Sun (1945)	Drama|War		
Outlaw, The (1943)	Western		
Night of the Living Dead (1968)	Horror|Sci-Fi|Thriller		
African Queen, The (1951)	Adventure|Comedy|Romance|War		
Beat the Devil (1953)	Adventure|Comedy|Crime|Drama|Romance		
Cat on a Hot Tin Roof (1958)	Drama		
Last Time I Saw Paris, The (1954)	Drama		
Meet John Doe (1941)	Comedy|Drama		
Algiers (1938)	Drama|Romance		
Something to Sing About (1937)	Comedy|Musical		
Farewell to Arms, A (1932)	Romance|War		
Moonlight Murder (1936)	Mystery		
Nothing Personal (1995)	Drama|War		
Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie) (1985)	Action		
Dangerous Ground (1997)	Drama		
Picnic (1955)	Drama		
Madagascar Skin (1995)	Romance		
Pompatus of Love, The (1996)	Comedy|Drama		
Small Wonders (1995)	Documentary		
Fly Away Home (1996)	Adventure|Children		
Bliss (1997)	Drama|Romance		
Grace of My Heart (1996)	Comedy|Drama		
Brother of Sleep (Schlafes Bruder) (1995)	Drama		
Maximum Risk (1996)	Action|Adventure|Thriller		
Michael Collins (1996)	Drama		
Rich Man's Wife, The (1996)	Thriller		
Infinity (1996)	Drama		
Big Night (1996)	Comedy|Drama		
Last Man Standing (1996)	Action|Crime|Drama|Thriller		
Caught (1996)	Drama|Thriller		
Set It Off (1996)	Action|Crime		
2 Days in the Valley (1996)	Crime|Film-Noir		
Curdled (1996)	Crime		
